-71.8100092,42.2741118
-71.8101401,42.2736526
-71.80979529999999,42.273842699999996
-71.80988839999999,42.2735045
-71.8091737,42.2741362
-71.8093275,42.273454799999996
-71.8086798,42.274100399999995
-71.80847419999999,42.2744928
-71.8082888,42.274543099999995
-71.80859,42.274318
-71.80892039999999,42.2741183
-71.80941159999999,42.274146099999996
-71.8097035,42.2741705
-71.8101812,42.2739785
-71.810225,42.2737851
-71.810035,42.2735504
-71.8096226,42.2734531
-71.8094796,42.2735923
-71.8096458,42.2737161
-71.80991019999999,42.273954499999995
-71.80998919999999,42.2737531
-71.8094011,42.2740262
-71.809591,42.2739423
-71.8090899,42.2739349
-71.8090677,42.2737349
-71.8077749,42.2744825
-71.8080465,42.2745094
-71.8078393,42.2741579
-71.80780469999999,42.2743338
-71.8082281,42.2738015
-71.8080315,42.273790399999996
-71.8079123,42.2738351
-71.8078465,42.2740017
-71.80916599999999,42.2735725
-71.8083932,42.2738373
-71.8085701,42.2738248
-71.80864009999999,42.2736993
-71.8085998,42.2735682
-71.808426,42.273540399999995
-71.8082465,42.273532599999996
-71.80817689999999,42.273646199999995
-71.8087291,42.273451099999996
-71.8089202,42.273379899999995
-71.8091374,42.273402
-71.8076645,42.2750152
-71.8074215,42.2751282
-71.8071396,42.2750528
-71.80694299999999,42.274978499999996
-71.8067392,42.2748829
-71.8066755,42.2747059
-71.8067416,42.2744333
-71.80682159999999,42.2741786
-71.8068894,42.2739544
-71.8069676,42.273695
-71.8069981,42.2735558
-71.8070456,42.2733908
-71.8071942,42.2733481
-71.807416,42.2733747
-71.80764239999999,42.273393899999995
-71.8076908,42.2734387
-71.8076815,42.2735602
-71.80757229999999,42.273682199999996
-71.8075136,42.2738681
-71.8074504,42.274159999999995
-71.8073844,42.2742864
-71.8072122,42.274304099999995
-71.80703559999999,42.274305899999995
-71.8073634,42.2744034
-71.8075301,42.2744213
-71.80766559999999,42.2744504
-71.8077103,42.2747746
-71.80771399999999,42.2747701
-71.8098146,42.2737761
-71.809833,42.2737201
-71.8098493,42.273659099999996
-71.8098688,42.2735732
-71.8099409,42.2735187
-71.8099964,42.2735341
-71.8100743,42.2735791
-71.81011219999999,42.273621399999996
-71.8102102,42.2737492
-71.8101944,42.273717
-71.8101717,42.2736802
-71.8102275,42.27382
-71.8102287,42.2738589
-71.8102207,42.2738963
-71.8101977,42.2739494
-71.81015459999999,42.274008099999996
-71.8101241,42.274041
-71.8100877,42.274068899999996
-71.8100527,42.2740891
-71.80996139999999,42.274133299999995
-71.8099165,42.2741557
-71.80986589999999,42.274164999999996
